Compound,cid,smiles
SANGUINARIUM CHLORIDE,NA,NA
PLUMBAGIN,NA,NA
DAUNOMYCIN HYDROCHLORIDE,NA,NA
PIROCTONE OLAMINE,NA,NA
PENFLURIDOL,NA,NA
METHYLBENZETHONIUM CHLORIDE,NA,NA
BRONOPOL,NA,NA
THIMEROSAL,NA,NA
TRICLOSAN,NA,NA
DISULFIRAM,NA,NA
CELASTROL,NA,NA
PYRITHIONE ZINC,NA,NA
ECONAZOLE NITRATE,NA,NA
DIHYDROCELASTRYL DIACETATE,NA,NA
PHENYLMERCURIC ACETATE,NA,NA
DYPHYLLINE,NA,NA
BENZYL ISOTHIOCYANATE,NA,NA
THIRAM,NA,NA
CHOLINE CHLORIDE,NA,NA
EMETINE DIHYDROCHLORIDE,NA,NA
AMLODIPINE BESYLATE,NA,NA
SPIRAMYCIN,NA,NA
NEROL,NA,NA
DEOXYGEDUNIN,NA,NA
CHLORHEXIDINE DIHYDROCHLORIDE,NA,NA
CLIOQUINOL,NA,NA
FENIPENTOL,NA,NA
CYCLOHEXIMIDE,NA,NA
ITRACONAZOLE HYDROCHLORIDE,NA,NA
CEFPIRAMIDE,NA,NA
AMBROXOL HYDROCHLORIDE,NA,NA
GADOTERIDOL,NA,NA
HYDROXYPROGESTERONE CAPROATE,NA,NA
