"Reference","SMILES","resolution"
"SANGUINARIUM CHLORIDE",NA,"unresolved"
"PLUMBAGIN",NA,"unresolved"
"DAUNOMYCIN HYDROCHLORIDE",NA,"unresolved"
"PIROCTONE OLAMINE",NA,"unresolved"
"PENFLURIDOL",NA,"unresolved"
"METHYLBENZETHONIUM CHLORIDE",NA,"unresolved"
"BRONOPOL",NA,"unresolved"
"THIMEROSAL",NA,"unresolved"
"TRICLOSAN",NA,"unresolved"
"DISULFIRAM",NA,"unresolved"
"CELASTROL",NA,"unresolved"
"PYRITHIONE ZINC",NA,"unresolved"
"ECONAZOLE NITRATE",NA,"unresolved"
"DIHYDROCELASTRYL DIACETATE",NA,"unresolved"
"PHENYLMERCURIC ACETATE",NA,"unresolved"
"DYPHYLLINE",NA,"unresolved"
"BENZYL ISOTHIOCYANATE",NA,"unresolved"
"THIRAM",NA,"unresolved"
"CHOLINE CHLORIDE",NA,"unresolved"
"EMETINE DIHYDROCHLORIDE",NA,"unresolved"
"AMLODIPINE BESYLATE",NA,"unresolved"
"ISOCONAZOLE NITRATE",NA,"unresolved"
"SPIRAMYCIN",NA,"unresolved"
"NEROL",NA,"unresolved"
"DEOXYGEDUNIN",NA,"unresolved"
"CHLORHEXIDINE DIHYDROCHLORIDE",NA,"unresolved"
"MEVASTATIN",NA,"unresolved"
"SUCCIMER",NA,"unresolved"
"CLIOQUINOL",NA,"unresolved"
"FENIPENTOL",NA,"unresolved"
"LORATADINE",NA,"unresolved"
"CLENBUTEROL HYDROCHLORIDE",NA,"unresolved"
"CORTISONE ACETATE",NA,"unresolved"
"CYCLOHEXIMIDE",NA,"unresolved"
"ALRESTATIN",NA,"unresolved"
"CHLORPROMAZINE HYDROCHLORIDE",NA,"unresolved"
"CYCLIZINE",NA,"unresolved"
"DROXYDOPA",NA,"unresolved"
"PENBUTOLOL SULFATE",NA,"unresolved"
"MELPERONE HYDROCHLORIDE",NA,"unresolved"
"ITRACONAZOLE HYDROCHLORIDE",NA,"unresolved"
"PIRACETAM",NA,"unresolved"
"PRIMAQUINE PHOSPHATE",NA,"unresolved"
"SULFAMETHOXYPYRIDAZINE",NA,"unresolved"
